,Name,State,Conference,PrivatePublic,Year,Rank
1894,University of Kansas,KS,Big 12,Public,2013,106
1896,Princeton University,NJ,Ivy League,Private,2012,1
1897,Massachusetts Institute of Technology,MA,NEWMAC,Private,2012,5
1898,Harvard University,MA,Ivy League,Private,2012,1
1899,Stanford University,CA,ACC,Private,2012,5
1900,Yale University,CT,Ivy League,Private,2012,3
1901,University of Pennsylvania,PA,Ivy League,Private,2012,5
1902,California Institute of Technology,CA,SCIAC,Private,2012,5
1903,Duke University,NC,ACC,Private,2012,10
1904,Brown University,RI,Ivy League,Private,2012,15
1905,Johns Hopkins University,MD,Centennial,Private,2012,13
1906,Northwestern University,IL,Big 10,Private,2012,12
1907,Columbia University,NY,Ivy League,Private,2012,4
1908,Cornell University,NY,Ivy League,Private,2012,15
1909,University of Chicago,IL,UAA,Private,2012,5
1910,University of California-Berkeley,CA,ACC,Public,2012,21
1911,University of California-Los Angeles,CA,Big 10,Public,2012,25
1912,Rice University,TX,AAC,Private,2012,17
1913,Dartmouth College,NH,Ivy League,Private,2012,11
1914,Vanderbilt University,TN,SEC,Private,2012,17
1915,University of Notre Dame,IN,ACC,Private,2012,19
1916,University of Michigan-Ann Arbor,MI,Big 10,Public,2012,28
1917,Georgetown University,DC,Big East,Private,2012,22
1918,University of North Carolina-Chapel Hill,NC,ACC,Public,2012,29
1919,Carnegie Mellon University,PA,UAA,Private,2012,23
1920,Emory University,GA,UAA,Private,2012,20
1921,University of Virginia,VA,ACC,Public,2012,25
1922,Washington University in St. Louis,MO,UAA,Private,2012,14
1923,University of California-Davis,CA,BWC,Public,2012,38
1924,University of California-San Diego,CA,BWC,Public,2012,37
1925,University of Florida,FL,SEC,Public,2012,58
1926,University of Southern California,CA,Big 10,Private,2012,23
1927,University of Texas-Austin,TX,SEC,Public,2012,45
1928,Georgia Institute of Technology,GA,ACC,Public,2012,36
1929,University of California-Irvine,CA,BWC,Public,2012,45
1930,New York University,NY,UAA,Private,2012,33
1931,University of California-Santa Barbara,CA,BWC,Public,2012,42
1932,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2012,45
1933,University of Wisconsin-Madison,WI,Big 10,Public,2012,42
1934,Boston College,MA,ACC,Private,2012,31
1935,Rutgers University-New Brunswick,NJ,Big 10,Public,2012,68
1936,Tufts University,MA,NESCAC,Private,2012,29
1937,University of Washington,WA,Big 10,Public,2012,42
1938,Boston University,MA,Patriot,Private,2012,53
1939,Ohio State University-Columbus,OH,Big 10,Public,2012,55
1940,Purdue University,IN,Big 10,Public,2012,62
1941,University of Maryland,MD,Big 10,Public,2012,55
1942,Lehigh University,PA,Patriot,Private,2012,38
1943,Texas A&M University-College Station,TX,SEC,Public,2012,58
1944,University of Georgia,GA,SEC,Public,2012,62
1945,University of Rochester,NY,UAA,Private,2012,35
1946,Virginia Polytechnic Institute and State University,VA,ACC,Public,2012,71
1947,Wake Forest University,NC,ACC,Private,2012,25
1948,Case Western Reserve University,OH,UAA,Private,2012,38
1949,College of William and Mary,VA,CAA,Public,2012,33
1950,Florida State University,FL,ACC,Public,2012,101
1951,Northeastern University,MA,CAA,Private,2012,62
1952,University of Minnesota,MN,Big 10,Public,2012,68
1953,Stony Brook University,NY,CAA,Public,2012,111
1954,University of Connecticut,CT,Big East,Public,2012,58
1955,Brandeis University,MA,UAA,Private,2012,31
1956,Michigan State University,MI,Big 10,Public,2012,71
1957,North Carolina State University,NC,ACC,Public,2012,101
1958,Pennsylvania State University-University Park,PA,Big 10,Public,2012,45
1959,Rensselaer Polytechnic Institute,NY,Liberty,Private,2012,50
1962,George Washington University,DC,A-10,Private,2012,50
1963,Syracuse University,NY,ACC,Private,2012,62
1964,University of Massachusetts-Amherst,MA,A-10,Public,2012,94
1965,University of Miami,FL,ACC,Private,2012,38
1966,University of Pittsburgh,PA,ACC,Public,2012,58
1968,Binghamton University,NY,AmEast,Public,2012,88
1969,Indiana University-Bloomington,IN,Big 10,Public,2012,75
1970,Tulane University,LA,AAC,Private,2012,50
1971,Colorado School of Mines,CO,RMC,Public,2012,75
1972,Pepperdine University,CA,WCC,Private,2012,55
1973,Stevens Institute of Technology,NJ,MAC,Private,2012,88
1974,University of Buffalo,NY,MAC,Public,2012,111
1975,University of California-Riverside,CA,BWC,Public,2012,97
1976,University of Delaware,DE,C-USA,Public,2012,75
1978,University of California-Santa Cruz,CA,C2C,Public,2012,75
1980,Worcester Polytechnic Institute,MA,NEWMAC,Private,2012,62
1981,Clemson University,SC,ACC,Public,2012,68
1982,Marquette University,WI,Big East,Private,2012,82
1984,Fordham University,NY,A-10,Private,2012,53
1985,Southern Methodist University,TX,ACC,Private,2012,62
1988,Auburn University,AL,SEC,Public,2012,82
1989,Baylor University,TX,Big 12,Private,2012,75
1992,University of Iowa,IA,Big 10,Public,2012,71
1993,Drexel University,PA,CAA,Private,2012,88
1994,Illinois Institute of Technology,IL,NACC,Private,2012,111
1997,Texas Christian University,TX,Big 12,Private,2012,97
1998,University of Oregon,OR,Big 10,Public,2012,101
1999,University of San Diego,CA,WCC,Private,2012,97
2000,American University,DC,Patriot,Private,2012,82
2001,Arizona State University-Tempe,AZ,Big 12,Public,2012,132
2005,Saint Louis University,MZ,A-10,Private,2012,88
2007,University of Colorado-Boulder,CO,Big 12,Public,2012,94
2008,University of Tennessee,TN,SEC,Public,2012,101
2009,Yeshiva University,NY,,Private,2012,45
2010,Brigham Young University,UT,Big 12,Private,2012,71
2011,Howard University,DC,MEAC,Private,2012,111
2012,Iowa State University,IA,Big 12,Public,2012,94
2014,University of Arizona,AZ,Big 12,Public,2012,124
2015,University of New Hampshire,NH,AmEast,Public,2012,101
2024,University of Denver,CO,The Summit,Private,2012,82
2025,University of Missouri,MZ,SEC,Public,2012,90
2026,University of Oklahoma,OK,SEC,Public,2012,101
2027,University of South Carolina,SC,SEC,Public,2012,111
2031,Miami University,OH,MAC,Public,2012,90
2033,University of Dayton,OH,A-10,Private,2012,101
2036,University of Vermont,VT,AmEast,Public,2012,82
2037,Clark University,MA,,Private,2012,94
2038,Clarkson University,NY,Liberty,Private,2012,119
2039,Loyola University Chicago,IL,A-10,Private,2012,119
2042,University of Alabama,AL,SEC,Public,2012,75
2044,University of the Pacific,CA,WCC,Private,2012,101
2046,Colorado State University,CO,MW,Public,2012,128
2049,Michigan Technological University,MI,,Public,2012,111
2052,University of Kansas,KS,Big 12,Public,2012,101
2054,Princeton University,NJ,Ivy League,Private,2011,2
2055,Massachusetts Institute of Technology,MA,NEWMAC,Private,2011,7
2056,Harvard University,MA,Ivy League,Private,2011,1
2057,Stanford University,CA,ACC,Private,2011,5
2058,Yale University,CT,Ivy League,Private,2011,3
2059,University of Pennsylvania,PA,Ivy League,Private,2011,5
2060,California Institute of Technology,CA,SCIAC,Private,2011,7
2061,Duke University,NC,ACC,Private,2011,9
2062,Brown University,RI,Ivy League,Private,2011,15
2063,Johns Hopkins University,MD,Centennial,Private,2011,13
2064,Northwestern University,IL,Big 10,Private,2011,12
2065,Columbia University,NY,Ivy League,Private,2011,4
2066,Cornell University,NY,Ivy League,Private,2011,15
2067,University of Chicago,IL,UAA,Private,2011,9
2068,University of California-Berkeley,CA,ACC,Public,2011,22
2069,University of California-Los Angeles,CA,Big 10,Public,2011,25
2070,Rice University,TX,AAC,Private,2011,17
2071,Dartmouth College,NH,Ivy League,Private,2011,9
2072,Vanderbilt University,TN,SEC,Private,2011,17
2073,University of Notre Dame,IN,ACC,Private,2011,19
2074,University of Michigan-Ann Arbor,MI,Big 10,Public,2011,29
2075,Georgetown University,DC,Big East,Private,2011,21
2076,University of North Carolina-Chapel Hill,NC,ACC,Public,2011,30
2077,Carnegie Mellon University,PA,UAA,Private,2011,23
2078,Emory University,GA,UAA,Private,2011,20
2079,University of Virginia,VA,ACC,Public,2011,25
2080,Washington University in St. Louis,MO,UAA,Private,2011,13
2081,University of California-Davis,CA,BWC,Public,2011,39
2082,University of California-San Diego,CA,BWC,Public,2011,35
2083,University of Florida,FL,SEC,Public,2011,53
2084,University of Southern California,CA,Big 10,Private,2011,23
2085,University of Texas-Austin,TX,SEC,Public,2011,45
2086,Georgia Institute of Technology,GA,ACC,Public,2011,35
2087,University of California-Irvine,CA,BWC,Public,2011,41
2088,New York University,NY,UAA,Private,2011,33
2089,University of California-Santa Barbara,CA,BWC,Public,2011,39
2090,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2011,47
2091,University of Wisconsin-Madison,WI,Big 10,Public,2011,45
2092,Boston College,MA,ACC,Private,2011,31
2093,Rutgers University-New Brunswick,NJ,Big 10,Public,2011,64
2094,Tufts University,MA,NESCAC,Private,2011,28
2095,University of Washington,WA,Big 10,Public,2011,41
2096,Boston University,MA,Patriot,Private,2011,56
2097,Ohio State University-Columbus,OH,Big 10,Public,2011,56
2098,Purdue University,IN,Big 10,Public,2011,56
2099,University of Maryland,MD,Big 10,Public,2011,56
2100,Lehigh University,PA,Patriot,Private,2011,37
2101,Texas A&M University-College Station,TX,SEC,Public,2011,63
2102,University of Georgia,GA,SEC,Public,2011,56
2103,University of Rochester,NY,UAA,Private,2011,37
2104,Virginia Polytechnic Institute and State University,VA,ACC,Public,2011,69
2105,Wake Forest University,NC,ACC,Private,2011,25
2106,Case Western Reserve University,OH,UAA,Private,2011,41
2107,College of William and Mary,VA,CAA,Public,2011,31
2108,Florida State University,FL,ACC,Public,2011,104
2109,Northeastern University,MA,CAA,Private,2011,69
2110,University of Minnesota,MN,Big 10,Public,2011,64
2111,Stony Brook University,NY,CAA,Public,2011,99
2112,University of Connecticut,CT,Big East,Public,2011,69
2113,Brandeis University,MA,UAA,Private,2011,34
2114,Michigan State University,MI,Big 10,Public,2011,79
2115,North Carolina State University,NC,ACC,Public,2011,111
2116,Pennsylvania State University-University Park,PA,Big 10,Public,2011,47
2117,Rensselaer Polytechnic Institute,NY,Liberty,Private,2011,41
2120,George Washington University,DC,A-10,Private,2011,51
2121,Syracuse University,NY,ACC,Private,2011,55
2122,University of Massachusetts-Amherst,MA,A-10,Public,2011,99
2123,University of Miami,FL,ACC,Private,2011,47
2124,University of Pittsburgh,PA,ACC,Public,2011,64
2126,Binghamton University,NY,AmEast,Public,2011,86
2127,Indiana University-Bloomington,IN,Big 10,Public,2011,75
2128,Tulane University,LA,AAC,Private,2011,51
2129,Colorado School of Mines,CO,RMC,Public,2011,72
2130,Pepperdine University,CA,WCC,Private,2011,53
2131,Stevens Institute of Technology,NJ,MAC,Private,2011,86
2132,University of Buffalo,NY,MAC,Public,2011,120
2133,University of California-Riverside,CA,BWC,Public,2011,94
2134,University of Delaware,DE,C-USA,Public,2011,75
2136,University of California-Santa Cruz,CA,C2C,Public,2011,72
2138,Worcester Polytechnic Institute,MA,NEWMAC,Private,2011,64
2139,Clemson University,SC,ACC,Public,2011,64
2140,Marquette University,WI,Big East,Private,2011,75
2142,Fordham University,NY,A-10,Private,2011,56
2143,Southern Methodist University,TX,ACC,Private,2011,56
2146,Auburn University,AL,SEC,Public,2011,85
2147,Baylor University,TX,Big 12,Private,2011,79
2150,University of Iowa,IA,Big 10,Public,2011,72
2151,Drexel University,PA,CAA,Private,2011,86
2152,Illinois Institute of Technology,IL,NACC,Private,2011,111
2155,Texas Christian University,TX,Big 12,Private,2011,99
2156,University of Oregon,OR,Big 10,Public,2011,111
2157,University of San Diego,CA,WCC,Private,2011,94
2158,American University,DC,Patriot,Private,2011,79
2159,Arizona State University-Tempe,AZ,Big 12,Public,2011,143
2163,Saint Louis University,MZ,A-10,Private,2011,86
2165,University of Colorado-Boulder,CO,Big 12,Public,2011,86
2166,University of Tennessee,TN,SEC,Public,2011,104
2167,Yeshiva University,NY,,Private,2011,50
2168,Brigham Young University,UT,Big 12,Private,2011,75
2169,Howard University,DC,MEAC,Private,2011,104
2170,Iowa State University,IA,Big 12,Public,2011,94
2172,University of Arizona,AZ,Big 12,Public,2011,120
2173,University of New Hampshire,NH,AmEast,Public,2011,104
2182,University of Denver,CO,The Summit,Private,2011,86
2183,University of Missouri,MZ,SEC,Public,2011,94
2184,University of Oklahoma,OK,SEC,Public,2011,111
2185,University of South Carolina,SC,SEC,Public,2011,111
2189,Miami University,OH,MAC,Public,2011,79
2191,University of Dayton,OH,A-10,Private,2011,99
2194,University of Vermont,VT,AmEast,Public,2011,94
2195,Clark University,MA,,Private,2011,86
2196,Clarkson University,NY,Liberty,Private,2011,124
2197,Loyola University Chicago,IL,A-10,Private,2011,117
2200,University of Alabama,AL,SEC,Public,2011,79
2202,University of the Pacific,CA,WCC,Private,2011,99
2204,Colorado State University,CO,MW,Public,2011,124
2207,Michigan Technological University,MI,,Public,2011,117
2210,University of Kansas,KS,Big 12,Public,2011,104
2212,Princeton University,NJ,Ivy League,Private,2010,1
2213,Massachusetts Institute of Technology,MA,NEWMAC,Private,2010,4
2214,Harvard University,MA,Ivy League,Private,2010,1
2215,Stanford University,CA,ACC,Private,2010,4
2216,Yale University,CT,Ivy League,Private,2010,3
2217,University of Pennsylvania,PA,Ivy League,Private,2010,4
2218,California Institute of Technology,CA,SCIAC,Private,2010,4
2219,Duke University,NC,ACC,Private,2010,10
2220,Brown University,RI,Ivy League,Private,2010,16
2221,Johns Hopkins University,MD,Centennial,Private,2010,14
2222,Northwestern University,IL,Big 10,Private,2010,12
2223,Columbia University,NY,Ivy League,Private,2010,8
2224,Cornell University,NY,Ivy League,Private,2010,15
2225,University of Chicago,IL,UAA,Private,2010,8
2226,University of California-Berkeley,CA,ACC,Public,2010,21
2227,University of California-Los Angeles,CA,Big 10,Public,2010,24
2228,Rice University,TX,AAC,Private,2010,17
2229,Dartmouth College,NH,Ivy League,Private,2010,11
2230,Vanderbilt University,TN,SEC,Private,2010,17
2231,University of Notre Dame,IN,ACC,Private,2010,20
2232,University of Michigan-Ann Arbor,MI,Big 10,Public,2010,27
2233,Georgetown University,DC,Big East,Private,2010,23
2234,University of North Carolina-Chapel Hill,NC,ACC,Public,2010,28
2235,Carnegie Mellon University,PA,UAA,Private,2010,22
2236,Emory University,GA,UAA,Private,2010,17
2237,University of Virginia,VA,ACC,Public,2010,24
2238,Washington University in St. Louis,MO,UAA,Private,2010,12
2239,University of California-Davis,CA,BWC,Public,2010,42
2240,University of California-San Diego,CA,BWC,Public,2010,35
2241,University of Florida,FL,SEC,Public,2010,47
2242,University of Southern California,CA,Big 10,Private,2010,26
2243,University of Texas-Austin,TX,SEC,Public,2010,47
2244,Georgia Institute of Technology,GA,ACC,Public,2010,35
2245,University of California-Irvine,CA,BWC,Public,2010,46
2246,New York University,NY,UAA,Private,2010,32
2247,University of California-Santa Barbara,CA,BWC,Public,2010,42
2248,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2010,39
2249,University of Wisconsin-Madison,WI,Big 10,Public,2010,39
2250,Boston College,MA,ACC,Private,2010,34
2251,Rutgers University-New Brunswick,NJ,Big 10,Public,2010,66
2252,Tufts University,MA,NESCAC,Private,2010,28
2253,University of Washington,WA,Big 10,Public,2010,42
2254,Boston University,MA,Patriot,Private,2010,56
2255,Ohio State University-Columbus,OH,Big 10,Public,2010,53
2256,Purdue University,IN,Big 10,Public,2010,61
2257,University of Maryland,MD,Big 10,Public,2010,53
2258,Lehigh University,PA,Patriot,Private,2010,35
2259,Texas A&M University-College Station,TX,SEC,Public,2010,61
2260,University of Georgia,GA,SEC,Public,2010,58
2261,University of Rochester,NY,UAA,Private,2010,35
2262,Virginia Polytechnic Institute and State University,VA,ACC,Public,2010,71
2263,Wake Forest University,NC,ACC,Private,2010,28
2264,Case Western Reserve University,OH,UAA,Private,2010,41
2265,College of William and Mary,VA,CAA,Public,2010,33
2266,Florida State University,FL,ACC,Public,2010,102
2267,Northeastern University,MA,CAA,Private,2010,80
2268,University of Minnesota,MN,Big 10,Public,2010,61
2269,Stony Brook University,NY,CAA,Public,2010,96
2270,University of Connecticut,CT,Big East,Public,2010,66
2271,Brandeis University,MA,UAA,Private,2010,31
2272,Michigan State University,MI,Big 10,Public,2010,71
2273,North Carolina State University,NC,ACC,Public,2010,88
2274,Pennsylvania State University-University Park,PA,Big 10,Public,2010,47
2275,Rensselaer Polytechnic Institute,NY,Liberty,Private,2010,42
2278,George Washington University,DC,A-10,Private,2010,53
2279,Syracuse University,NY,ACC,Private,2010,58
2280,University of Massachusetts-Amherst,MA,A-10,Public,2010,106
2281,University of Miami,FL,ACC,Private,2010,50
2282,University of Pittsburgh,PA,ACC,Public,2010,56
2284,Binghamton University,NY,AmEast,Public,2010,80
2285,Indiana University-Bloomington,IN,Big 10,Public,2010,71
2286,Tulane University,LA,AAC,Private,2010,50
2287,Colorado School of Mines,CO,RMC,Public,2010,77
2288,Pepperdine University,CA,WCC,Private,2010,58
2289,Stevens Institute of Technology,NJ,MAC,Private,2010,84
2290,University of Buffalo,NY,MAC,Public,2010,121
2291,University of California-Riverside,CA,BWC,Public,2010,96
2292,University of Delaware,DE,C-USA,Public,2010,68
2294,University of California-Santa Cruz,CA,C2C,Public,2010,71
2296,Worcester Polytechnic Institute,MA,NEWMAC,Private,2010,68
2297,Clemson University,SC,ACC,Public,2010,61
2298,Marquette University,WI,Big East,Private,2010,84
2300,Fordham University,NY,A-10,Private,2010,61
2301,Southern Methodist University,TX,ACC,Private,2010,68
2304,Auburn University,AL,SEC,Public,2010,88
2305,Baylor University,TX,Big 12,Private,2010,80
2308,University of Iowa,IA,Big 10,Public,2010,71
2309,Drexel University,PA,CAA,Private,2010,88
2310,Illinois Institute of Technology,IL,NACC,Private,2010,106
2313,Texas Christian University,TX,Big 12,Private,2010,110
2314,University of Oregon,OR,Big 10,Public,2010,115
2315,University of San Diego,CA,WCC,Private,2010,110
2316,American University,DC,Patriot,Private,2010,84
2317,Arizona State University-Tempe,AZ,Big 12,Public,2010,121
2321,Saint Louis University,MZ,A-10,Private,2010,84
2323,University of Colorado-Boulder,CO,Big 12,Public,2010,77
2324,University of Tennessee,TN,SEC,Public,2010,106
2325,Yeshiva University,NY,,Private,2010,52
2326,Brigham Young University,UT,Big 12,Private,2010,71
2327,Howard University,DC,MEAC,Private,2010,96
2328,Iowa State University,IA,Big 12,Public,2010,88
2330,University of Arizona,AZ,Big 12,Public,2010,102
2331,University of New Hampshire,NH,AmEast,Public,2010,110
2340,University of Denver,CO,The Summit,Private,2010,84
2341,University of Missouri,MZ,SEC,Public,2010,102
2342,University of Oklahoma,OK,SEC,Public,2010,102
2343,University of South Carolina,SC,SEC,Public,2010,110
2347,Miami University,OH,MAC,Public,2010,77
2349,University of Dayton,OH,A-10,Private,2010,110
2352,University of Vermont,VT,AmEast,Public,2010,88
2353,Clark University,MA,,Private,2010,88
2354,Clarkson University,NY,Liberty,Private,2010,119
2355,Loyola University Chicago,IL,A-10,Private,2010,119
2358,University of Alabama,AL,SEC,Public,2010,96
2360,University of the Pacific,CA,WCC,Private,2010,115
2362,Colorado State University,CO,MW,Public,2010,128
2365,Michigan Technological University,MI,,Public,2010,121
2368,University of Kansas,KS,Big 12,Public,2010,96
2370,Princeton University,NJ,Ivy League,Private,2009,2
2371,Massachusetts Institute of Technology,MA,NEWMAC,Private,2009,4
2372,Harvard University,MA,Ivy League,Private,2009,1
2373,Stanford University,CA,ACC,Private,2009,4
2374,Yale University,CT,Ivy League,Private,2009,3
2375,University of Pennsylvania,PA,Ivy League,Private,2009,6
2376,California Institute of Technology,CA,SCIAC,Private,2009,6
2377,Duke University,NC,ACC,Private,2009,8
2378,Brown University,RI,Ivy League,Private,2009,16
2379,Johns Hopkins University,MD,Centennial,Private,2009,15
2380,Northwestern University,IL,Big 10,Private,2009,12
2381,Columbia University,NY,Ivy League,Private,2009,8
2382,Cornell University,NY,Ivy League,Private,2009,14
2383,University of Chicago,IL,UAA,Private,2009,8
2384,University of California-Berkeley,CA,ACC,Public,2009,21
2385,University of California-Los Angeles,CA,Big 10,Public,2009,25
2386,Rice University,TX,AAC,Private,2009,17
2387,Dartmouth College,NH,Ivy League,Private,2009,11
2388,Vanderbilt University,TN,SEC,Private,2009,18
2389,University of Notre Dame,IN,ACC,Private,2009,18
2390,University of Michigan-Ann Arbor,MI,Big 10,Public,2009,26
2391,Georgetown University,DC,Big East,Private,2009,23
2392,University of North Carolina-Chapel Hill,NC,ACC,Public,2009,30
2393,Carnegie Mellon University,PA,UAA,Private,2009,22
2394,Emory University,GA,UAA,Private,2009,18
2395,University of Virginia,VA,ACC,Public,2009,23
2396,Washington University in St. Louis,MO,UAA,Private,2009,12
2397,University of California-Davis,CA,BWC,Public,2009,44
2398,University of California-San Diego,CA,BWC,Public,2009,35
2399,University of Florida,FL,SEC,Public,2009,49
2400,University of Southern California,CA,Big 10,Private,2009,27
2401,University of Texas-Austin,TX,SEC,Public,2009,47
2402,Georgia Institute of Technology,GA,ACC,Public,2009,35
2403,University of California-Irvine,CA,BWC,Public,2009,44
2404,New York University,NY,UAA,Private,2009,33
2405,University of California-Santa Barbara,CA,BWC,Public,2009,44
2406,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2009,40
2407,University of Wisconsin-Madison,WI,Big 10,Public,2009,35
2408,Boston College,MA,ACC,Private,2009,34
2409,Rutgers University-New Brunswick,NJ,Big 10,Public,2009,64
2410,Tufts University,MA,NESCAC,Private,2009,28
2411,University of Washington,WA,Big 10,Public,2009,41
2412,Boston University,MA,Patriot,Private,2009,60
2413,Ohio State University-Columbus,OH,Big 10,Public,2009,56
2414,Purdue University,IN,Big 10,Public,2009,66
2415,University of Maryland,MD,Big 10,Public,2009,53
2416,Lehigh University,PA,Patriot,Private,2009,35
2417,Texas A&M University-College Station,TX,SEC,Public,2009,64
2418,University of Georgia,GA,SEC,Public,2009,58
2419,University of Rochester,NY,UAA,Private,2009,35
2420,Virginia Polytechnic Institute and State University,VA,ACC,Public,2009,71
2421,Wake Forest University,NC,ACC,Private,2009,28
2422,Case Western Reserve University,OH,UAA,Private,2009,41
2423,College of William and Mary,VA,CAA,Public,2009,32
2424,Florida State University,FL,ACC,Public,2009,102
2425,Northeastern University,MA,CAA,Private,2009,96
2426,University of Minnesota,MN,Big 10,Public,2009,61
2427,Stony Brook University,NY,CAA,Public,2009,96
2428,University of Connecticut,CT,Big East,Public,2009,66
2429,Brandeis University,MA,UAA,Private,2009,31
2430,Michigan State University,MI,Big 10,Public,2009,71
2431,North Carolina State University,NC,ACC,Public,2009,83
2432,Pennsylvania State University-University Park,PA,Big 10,Public,2009,47
2433,Rensselaer Polytechnic Institute,NY,Liberty,Private,2009,41
2436,George Washington University,DC,A-10,Private,2009,53
2437,Syracuse University,NY,ACC,Private,2009,53
2438,University of Massachusetts-Amherst,MA,A-10,Public,2009,102
2439,University of Miami,FL,ACC,Private,2009,51
2440,University of Pittsburgh,PA,ACC,Public,2009,58
2442,Binghamton University,NY,AmEast,Public,2009,77
2443,Indiana University-Bloomington,IN,Big 10,Public,2009,71
2444,Tulane University,LA,AAC,Private,2009,51
2445,Colorado School of Mines,CO,RMC,Public,2009,80
2446,Pepperdine University,CA,WCC,Private,2009,56
2447,Stevens Institute of Technology,NJ,MAC,Private,2009,83
2448,University of Buffalo,NY,MAC,Public,2009,121
2449,University of California-Riverside,CA,BWC,Public,2009,89
2450,University of Delaware,DE,C-USA,Public,2009,71
2452,University of California-Santa Cruz,CA,C2C,Public,2009,96
2454,Worcester Polytechnic Institute,MA,NEWMAC,Private,2009,71
2455,Clemson University,SC,ACC,Public,2009,61
2456,Marquette University,WI,Big East,Private,2009,77
2458,Fordham University,NY,A-10,Private,2009,61
2459,Southern Methodist University,TX,ACC,Private,2009,66
2462,Auburn University,AL,SEC,Public,2009,96
2463,Baylor University,TX,Big 12,Private,2009,76
2466,University of Iowa,IA,Big 10,Public,2009,66
2467,Drexel University,PA,CAA,Private,2009,89
2468,Illinois Institute of Technology,IL,NACC,Private,2009,102
2471,Texas Christian University,TX,Big 12,Private,2009,113
2472,University of Oregon,OR,Big 10,Public,2009,108
2473,University of San Diego,CA,WCC,Private,2009,102
2474,American University,DC,Patriot,Private,2009,83
2475,Arizona State University-Tempe,AZ,Big 12,Public,2009,121
2479,Saint Louis University,MZ,A-10,Private,2009,80
2481,University of Colorado-Boulder,CO,Big 12,Public,2009,77
2482,University of Tennessee,TN,SEC,Public,2009,108
2483,Yeshiva University,NY,,Private,2009,50
2484,Brigham Young University,UT,Big 12,Private,2009,113
2485,Howard University,DC,MEAC,Private,2009,102
2486,Iowa State University,IA,Big 12,Public,2009,89
2488,University of Arizona,AZ,Big 12,Public,2009,96
2489,University of New Hampshire,NH,AmEast,Public,2009,113
2498,University of Denver,CO,The Summit,Private,2009,89
2499,University of Missouri,MZ,SEC,Public,2009,96
2500,University of Oklahoma,OK,SEC,Public,2009,108
2501,University of South Carolina,SC,SEC,Public,2009,108
2505,Miami University,OH,MAC,Public,2009,66
2507,University of Dayton,OH,A-10,Private,2009,108
2510,University of Vermont,VT,AmEast,Public,2009,89
2511,Clark University,MA,,Private,2009,80
2512,Clarkson University,NY,Liberty,Private,2009,121
2513,Loyola University Chicago,IL,A-10,Private,2009,116
2516,University of Alabama,AL,SEC,Public,2009,83
2518,University of the Pacific,CA,WCC,Private,2009,102
2520,Colorado State University,CO,MW,Public,2009,125
2523,Michigan Technological University,MI,,Public,2009,121
2526,University of Kansas,KS,Big 12,Public,2009,89
2528,Princeton University,NJ,Ivy League,Private,2008,1
2529,Massachusetts Institute of Technology,MA,NEWMAC,Private,2008,7
2530,Harvard University,MA,Ivy League,Private,2008,2
2531,Stanford University,CA,ACC,Private,2008,4
2532,Yale University,CT,Ivy League,Private,2008,3
2533,University of Pennsylvania,PA,Ivy League,Private,2008,5
2534,California Institute of Technology,CA,SCIAC,Private,2008,5
2535,Duke University,NC,ACC,Private,2008,8
2536,Brown University,RI,Ivy League,Private,2008,14
2537,Johns Hopkins University,MD,Centennial,Private,2008,14
2538,Northwestern University,IL,Big 10,Private,2008,14
2539,Columbia University,NY,Ivy League,Private,2008,9
2540,Cornell University,NY,Ivy League,Private,2008,12
2541,University of Chicago,IL,UAA,Private,2008,9
2542,University of California-Berkeley,CA,ACC,Public,2008,21
2543,University of California-Los Angeles,CA,Big 10,Public,2008,25
2544,Rice University,TX,AAC,Private,2008,17
2545,Dartmouth College,NH,Ivy League,Private,2008,11
2546,Vanderbilt University,TN,SEC,Private,2008,19
2547,University of Notre Dame,IN,ACC,Private,2008,19
2548,University of Michigan-Ann Arbor,MI,Big 10,Public,2008,25
2549,Georgetown University,DC,Big East,Private,2008,23
2550,University of North Carolina-Chapel Hill,NC,ACC,Public,2008,28
2551,Carnegie Mellon University,PA,UAA,Private,2008,22
2552,Emory University,GA,UAA,Private,2008,17
2553,University of Virginia,VA,ACC,Public,2008,23
2554,Washington University in St. Louis,MO,UAA,Private,2008,12
2555,University of California-Davis,CA,BWC,Public,2008,42
2556,University of California-San Diego,CA,BWC,Public,2008,38
2557,University of Florida,FL,SEC,Public,2008,49
2558,University of Southern California,CA,Big 10,Private,2008,27
2559,University of Texas-Austin,TX,SEC,Public,2008,44
2560,Georgia Institute of Technology,GA,ACC,Public,2008,35
2561,University of California-Irvine,CA,BWC,Public,2008,44
2562,New York University,NY,UAA,Private,2008,34
2563,University of California-Santa Barbara,CA,BWC,Public,2008,44
2564,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2008,38
2565,University of Wisconsin-Madison,WI,Big 10,Public,2008,38
2566,Boston College,MA,ACC,Private,2008,35
2567,Rutgers University-New Brunswick,NJ,Big 10,Public,2008,59
2568,Tufts University,MA,NESCAC,Private,2008,28
2569,University of Washington,WA,Big 10,Public,2008,42
2570,Boston University,MA,Patriot,Private,2008,57
2571,Ohio State University-Columbus,OH,Big 10,Public,2008,57
2572,Purdue University,IN,Big 10,Public,2008,64
